Sample,Site ID,Stage,Treatment,Harvest,Date,Callibration,mefett,n,ndf,adf,ash,fettprot,elostm,cp,c,,Parameter:
US1.G.2.20,US1,G,20,2,1/23/2023,   US1 Klee 2022 2.-4.Schnitt,10.18,2.64,46.48,29.27,7.77,1.85,57.58,16.50,46.17,,
US1.G.2.21,US1,G,21,2,1/23/2023,"   US1 Kräuter, 1mm 2022 2.-4.Schnitt",9.25,1.68,51.44,28.82,9.26,2.1,51.97,10.50,44.8,,
US1.G.2.22,US1,G,22,2,1/23/2023,   US1 gras klee 2022 2.-4.Schnitt,9.07,2.36,56.78,31.59,8.61,2.17,54.3,14.75,44.5,,
US1.G.2.23,US1,G,23,2,1/23/2023,   US1 gras klee 2022 2.-4.Schnitt,9.05,1.82,56.24,32.79,7.19,1.71,53.28,11.38,45.14,,
US1.G.2.24,US1,G,24,2,1/23/2023,   US1 gras kraut 2022 2.-4.Schnitt,8,1.47,60.45,34.56,10.29,1.72,50.36,9.19,43.2,,
US1.G.2.25,US1,G,25,2,1/23/2023,   US1 gras kraut 2022 2.-4.Schnitt,7.32,1.05,62.14,37.89,7.72,1.08,45.29,6.56,44.21,,
US1.G.2.26,US1,G,26,2,1/23/2023,   US1 gras klee 2022 2.-4.Schnitt,8.27,1.7,56.14,32.28,7.86,1.85,51.08,10.63,44.32,,
US1.G.2.27,US1,G,27,2,1/23/2023,   US1 gras klee 2022 2.-4.Schnitt,10.26,2.74,48.46,29.74,6.76,2.1,59.77,17.13,46.33,,
US1.G.2.28,US1,G,28,2,1/23/2023,   US1 gras kraut 2022 2.-4.Schnitt,9.35,1.54,53.85,29.59,10.48,2.15,56.49,9.63,43.66,,
US1.G.2.29,US1,G,29,2,1/23/2023,   US1 gras kraut 2022 2.-4.Schnitt,6.99,1.15,67.03,39.45,8.26,0.75,43.31,7.19,44.13,,
US1.G.2.30,US1,G,30,2,1/23/2023,"   US1 Klee Kraut, 2022 2.-4. Schnitt",9.67,2.37,49.24,26.83,9.89,2.43,54.49,14.81,44.52,,
US1.G.2.31,US1,G,31,2,1/23/2023,"   US1 Klee Kraut, 2022 2.-4. Schnitt",9.44,2.56,47.93,28.37,8.15,1.74,53.26,16.00,45.48,,
