code,plot,year,harvest_code
210264,1401,2021,4
210265,1402,2021,4
210266,1403,2021,4
210267,1404,2021,4
210268,1405,2021,4
210269,1406,2021,4
210348,2107,2021,5
210349,2108,2021,5
210350,2109,2021,5
210351,2110,2021,5
210352,2111,2021,5
210353,2112,2021,5
210354,2207,2021,5
210355,2208,2021,5
210356,2209,2021,5
210357,2210,2021,5
210358,2211,2021,5
210359,2212,2021,5
210360,2301,2021,5
210361,2302,2021,5
210362,2303,2021,5
210363,2304,2021,5
210364,2305,2021,5
210365,2306,2021,5
210366,2407,2021,5
210367,2408,2021,5
210368,2409,2021,5
210369,2410,2021,5
210370,2411,2021,5
210371,2412,2021,5
210324,1107,2021,6
210325,1108,2021,6
210326,1109,2021,6
210327,1110,2021,6
210328,1111,2021,6
210329,1112,2021,6
210330,1207,2021,6
210331,1208,2021,6
210332,1209,2021,6
210333,1210,2021,6
210334,1211,2021,6
210335,1212,2021,6
210336,1301,2021,6
210337,1302,2021,6
210338,1303,2021,6
210339,1304,2021,6
210340,1305,2021,6
210341,1306,2021,6
210342,1407,2021,6
210343,1408,2021,6
210344,1409,2021,6
210345,1410,2021,6
210346,1411,2021,6
210347,1412,2021,6
210396,2101,2021,7
210397,2102,2021,7
210398,2103,2021,7
210399,2104,2021,7
210400,2105,2021,7
210401,2106,2021,7
210402,2201,2021,7
210403,2202,2021,7
210404,2203,2021,7
210405,2204,2021,7
210406,2205,2021,7
210407,2206,2021,7
210408,2307,2021,7
210409,2308,2021,7
210410,2309,2021,7
210411,2310,2021,7
210412,2311,2021,7
210413,2312,2021,7
210414,2401,2021,7
210415,2402,2021,7
210416,2403,2021,7
210417,2404,2021,7
210418,2405,2021,7
210419,2406,2021,7
210372,1101,2021,8
210373,1102,2021,8
210374,1103,2021,8
210375,1104,2021,8
210376,1105,2021,8
210377,1106,2021,8
210378,1201,2021,8
210379,1202,2021,8
210380,1203,2021,8
210381,1204,2021,8
210382,1205,2021,8
210383,1206,2021,8
210384,1307,2021,8
210385,1308,2021,8
210386,1309,2021,8
210387,1310,2021,8
210388,1311,2021,8
210389,1312,2021,8
210390,1401,2021,8
210391,1402,2021,8
210392,1403,2021,8
210393,1404,2021,8
210394,1405,2021,8
210395,1406,2021,8
210444,2107,2021,9
210445,2108,2021,9
210446,2109,2021,9
210447,2110,2021,9
210448,2111,2021,9
210449,2112,2021,9
210450,2207,2021,9
210451,2208,2021,9
210452,2209,2021,9
210453,2210,2021,9
210454,2211,2021,9
210455,2212,2021,9
210456,2301,2021,9
210457,2302,2021,9
210458,2303,2021,9
210459,2304,2021,9
210460,2305,2021,9
210461,2306,2021,9
210462,2407,2021,9
210463,2408,2021,9
210464,2409,2021,9
210465,2410,2021,9
210466,2411,2021,9
210467,2412,2021,9
210420,1107,2021,10
210421,1108,2021,10
210422,1109,2021,10
210423,1110,2021,10
210424,1111,2021,10
210425,1112,2021,10
210426,1207,2021,10
210427,1208,2021,10
210428,1209,2021,10
210429,1210,2021,10
210430,1211,2021,10
210431,1212,2021,10
210432,1301,2021,10
210433,1302,2021,10
210434,1303,2021,10
210435,1304,2021,10
210436,1305,2021,10
210437,1306,2021,10
210438,1407,2021,10
210439,1408,2021,10
210440,1409,2021,10
210441,1410,2021,10
210442,1411,2021,10
210443,1412,2021,10
220054,2107,2022,1
220055,2108,2022,1
220056,2109,2022,1
220057,2110,2022,1
220058,2111,2022,1
220059,2112,2022,1
220066,2207,2022,1
220067,2208,2022,1
220068,2209,2022,1
220069,2210,2022,1
220070,2211,2022,1
220071,2212,2022,1
220072,2301,2022,1
220073,2302,2022,1
220074,2303,2022,1
220075,2304,2022,1
220076,2305,2022,1
220077,2306,2022,1
220090,2407,2022,1
220091,2408,2022,1
220092,2409,2022,1
220093,2410,2022,1
220094,2411,2022,1
220095,2412,2022,1
220006,1107,2022,2
220007,1108,2022,2
220008,1109,2022,2
220009,1110,2022,2
220010,1111,2022,2
220011,1112,2022,2
220018,1207,2022,2
220019,1208,2022,2
220020,1209,2022,2
220021,1210,2022,2
220022,1211,2022,2
220023,1212,2022,2
220024,1301,2022,2
220025,1302,2022,2
220026,1303,2022,2
220027,1304,2022,2
220028,1305,2022,2
220029,1306,2022,2
220042,1407,2022,2
220043,1408,2022,2
220044,1409,2022,2
220045,1410,2022,2
220046,1411,2022,2
220047,1412,2022,2
220048,2101,2022,3
220049,2102,2022,3
220050,2103,2022,3
220051,2104,2022,3
220052,2105,2022,3
220053,2106,2022,3
220060,2201,2022,3
220061,2202,2022,3
220062,2203,2022,3
220063,2204,2022,3
220064,2205,2022,3
220065,2206,2022,3
220078,2307,2022,3
220079,2308,2022,3
220080,2309,2022,3
220081,2310,2022,3
220082,2311,2022,3
220083,2312,2022,3
220084,2401,2022,3
220085,2402,2022,3
220086,2403,2022,3
220087,2404,2022,3
220088,2405,2022,3
220089,2406,2022,3
220000,1101,2022,4
220001,1102,2022,4
220002,1103,2022,4
220003,1104,2022,4
220004,1105,2022,4
220005,1106,2022,4
220012,1201,2022,4
220013,1202,2022,4
220014,1203,2022,4
220015,1204,2022,4
220016,1205,2022,4
220017,1206,2022,4
220030,1307,2022,4
220031,1308,2022,4
220032,1309,2022,4
220033,1310,2022,4
220034,1311,2022,4
220035,1312,2022,4
220036,1401,2022,4
220037,1402,2022,4
220038,1403,2022,4
220039,1404,2022,4
220040,1405,2022,4
220041,1406,2022,4
220120,2107,2022,5
220121,2108,2022,5
220122,2109,2022,5
220123,2110,2022,5
220124,2111,2022,5
220125,2112,2022,5
220126,2207,2022,5
220127,2208,2022,5
220128,2209,2022,5
220129,2210,2022,5
220130,2211,2022,5
220131,2212,2022,5
220132,2301,2022,5
220133,2302,2022,5
220134,2303,2022,5
220135,2304,2022,5
220136,2305,2022,5
220137,2306,2022,5
220138,2407,2022,5
220139,2408,2022,5
220140,2409,2022,5
220141,2410,2022,5
220142,2411,2022,5
220143,2412,2022,5
220096,1107,2022,6
220097,1108,2022,6
220098,1109,2022,6
220099,1110,2022,6
220100,1111,2022,6
220101,1112,2022,6
220102,1207,2022,6
220103,1208,2022,6
220104,1209,2022,6
220105,1210,2022,6
220106,1211,2022,6
220107,1212,2022,6
220108,1301,2022,6
220109,1302,2022,6
220110,1303,2022,6
220111,1304,2022,6
220112,1305,2022,6
220113,1306,2022,6
220114,1407,2022,6
220115,1408,2022,6
220116,1409,2022,6
220117,1410,2022,6
220118,1411,2022,6
220119,1412,2022,6
220168,2101,2022,7
220169,2102,2022,7
220170,2103,2022,7
220171,2104,2022,7
220172,2105,2022,7
220173,2106,2022,7
220174,2201,2022,7
220175,2202,2022,7
220176,2203,2022,7
220177,2204,2022,7
220178,2205,2022,7
220179,2206,2022,7
220180,2307,2022,7
220181,2308,2022,7
220182,2309,2022,7
220183,2310,2022,7
220184,2311,2022,7
220185,2312,2022,7
220186,2401,2022,7
220187,2402,2022,7
220188,2403,2022,7
220189,2404,2022,7
220190,2405,2022,7
220191,2406,2022,7
220144,1101,2022,8
220145,1102,2022,8
220146,1103,2022,8
220147,1104,2022,8
220148,1105,2022,8
220149,1106,2022,8
220150,1201,2022,8
220151,1202,2022,8
220152,1203,2022,8
220153,1204,2022,8
220154,1205,2022,8
220155,1206,2022,8
220156,1307,2022,8
220157,1308,2022,8
220158,1309,2022,8
220159,1310,2022,8
220160,1311,2022,8
220161,1312,2022,8
220162,1401,2022,8
220163,1402,2022,8
220164,1403,2022,8
220165,1404,2022,8
220166,1405,2022,8
220167,1406,2022,8
220216,2107,2022,9
220217,2108,2022,9
220218,2109,2022,9
220219,2110,2022,9
220220,2111,2022,9
220221,2112,2022,9
220222,2207,2022,9
220223,2208,2022,9
220224,2209,2022,9
220225,2210,2022,9
220226,2211,2022,9
220227,2212,2022,9
220228,2301,2022,9
220229,2302,2022,9
220230,2303,2022,9
220231,2304,2022,9
220232,2305,2022,9
220233,2306,2022,9
220234,2407,2022,9
220235,2408,2022,9
220236,2409,2022,9
220237,2410,2022,9
220238,2411,2022,9
220239,2412,2022,9
220192,1107,2022,10
220193,1108,2022,10
220194,1109,2022,10
220195,1110,2022,10
220196,1111,2022,10
220197,1112,2022,10
220198,1207,2022,10
220199,1208,2022,10
220200,1209,2022,10
220201,1210,2022,10
220202,1211,2022,10
220203,1212,2022,10
220204,1301,2022,10
220205,1302,2022,10
220206,1303,2022,10
220207,1304,2022,10
220208,1305,2022,10
220209,1306,2022,10
220210,1407,2022,10
220211,1408,2022,10
220212,1409,2022,10
220213,1410,2022,10
220214,1411,2022,10
220215,1412,2022,10
220264,2101,2022,11
220265,2102,2022,11
220266,2103,2022,11
220267,2104,2022,11
220268,2105,2022,11
220269,2106,2022,11
220270,2201,2022,11
220271,2202,2022,11
220272,2203,2022,11
220273,2204,2022,11
220274,2205,2022,11
220275,2206,2022,11
220276,2307,2022,11
220277,2308,2022,11
220278,2309,2022,11
220279,2310,2022,11
220280,2311,2022,11
220281,2312,2022,11
220282,2401,2022,11
220283,2402,2022,11
220284,2403,2022,11
220285,2404,2022,11
220286,2405,2022,11
220287,2406,2022,11
220240,1101,2022,12
220241,1102,2022,12
220242,1103,2022,12
220243,1104,2022,12
220244,1105,2022,12
220245,1106,2022,12
220246,1201,2022,12
220247,1202,2022,12
220248,1203,2022,12
220249,1204,2022,12
220250,1205,2022,12
220251,1206,2022,12
220252,1307,2022,12
220253,1308,2022,12
220254,1309,2022,12
220255,1310,2022,12
220256,1311,2022,12
220257,1312,2022,12
220258,1401,2022,12
220259,1402,2022,12
220260,1403,2022,12
220261,1404,2022,12
220262,1405,2022,12
220263,1406,2022,12
220312,2107,2022,13
220313,2108,2022,13
220314,2109,2022,13
220315,2110,2022,13
220316,2111,2022,13
220317,2112,2022,13
220318,2207,2022,13
220319,2208,2022,13
220320,2209,2022,13
220321,2210,2022,13
220322,2211,2022,13
220323,2212,2022,13
220324,2301,2022,13
220325,2302,2022,13
220326,2303,2022,13
220327,2304,2022,13
220328,2305,2022,13
220329,2306,2022,13
220330,2407,2022,13
220331,2408,2022,13
220332,2409,2022,13
220333,2410,2022,13
220334,2411,2022,13
220335,2412,2022,13
220288,1107,2022,14
220289,1108,2022,14
220290,1109,2022,14
220291,1110,2022,14
220292,1111,2022,14
220293,1112,2022,14
220294,1207,2022,14
220295,1208,2022,14
220296,1209,2022,14
220297,1210,2022,14
220298,1211,2022,14
220299,1212,2022,14
220300,1301,2022,14
220301,1302,2022,14
220302,1303,2022,14
220303,1304,2022,14
220304,1305,2022,14
220305,1306,2022,14
220306,1407,2022,14
220307,1408,2022,14
220308,1409,2022,14
220309,1410,2022,14
220310,1411,2022,14
220311,1412,2022,14
220360,2101,2022,15
220361,2102,2022,15
220362,2103,2022,15
220363,2104,2022,15
220364,2105,2022,15
220365,2106,2022,15
220366,2201,2022,15
220367,2202,2022,15
220368,2203,2022,15
220369,2204,2022,15
220370,2205,2022,15
220371,2206,2022,15
220372,2307,2022,15
220373,2308,2022,15
220374,2309,2022,15
220375,2310,2022,15
220376,2311,2022,15
220377,2312,2022,15
220378,2401,2022,15
220379,2402,2022,15
220380,2403,2022,15
220381,2404,2022,15
220382,2405,2022,15
220383,2406,2022,15
220336,1101,2022,16
220337,1102,2022,16
220338,1103,2022,16
220339,1104,2022,16
220340,1105,2022,16
220341,1106,2022,16
220342,1201,2022,16
220343,1202,2022,16
220344,1203,2022,16
220345,1204,2022,16
220346,1205,2022,16
220347,1206,2022,16
220348,1307,2022,16
220349,1308,2022,16
220350,1309,2022,16
220351,1310,2022,16
220352,1311,2022,16
220353,1312,2022,16
220354,1401,2022,16
220355,1402,2022,16
220356,1403,2022,16
220357,1404,2022,16
220358,1405,2022,16
220359,1406,2022,16
220408,2107,2022,17
220409,2108,2022,17
220410,2109,2022,17
220411,2110,2022,17
220412,2111,2022,17
220413,2112,2022,17
220414,2207,2022,17
220415,2208,2022,17
220416,2209,2022,17
220417,2210,2022,17
220418,2211,2022,17
220419,2212,2022,17
220420,2301,2022,17
220421,2302,2022,17
220422,2303,2022,17
220423,2304,2022,17
220424,2305,2022,17
220425,2306,2022,17
220426,2407,2022,17
220427,2408,2022,17
220428,2409,2022,17
220429,2410,2022,17
220430,2411,2022,17
220431,2412,2022,17
220384,1107,2022,18
220385,1108,2022,18
220386,1109,2022,18
220387,1110,2022,18
220388,1111,2022,18
220389,1112,2022,18
220390,1207,2022,18
220391,1208,2022,18
220392,1209,2022,18
220393,1210,2022,18
220394,1211,2022,18
220395,1212,2022,18
220396,1301,2022,18
220397,1302,2022,18
220398,1303,2022,18
220399,1304,2022,18
220400,1305,2022,18
220401,1306,2022,18
220402,1407,2022,18
220403,1408,2022,18
220404,1409,2022,18
220405,1410,2022,18
220406,1411,2022,18
220407,1412,2022,18
